id,age,genre,taille,regular_eating,sorbet_fraise,sorbet_framboise,sorbet_passion,sorbet_citron,creme_glacee_vanille,creme_glacee_chocolat,creme_glacee_rhumraisins,creme_glacee_caramel,comment
33,NA,non binaire,NA,Oui,2_moyennement,4_énormément,1_un peu,2_moyennement,4_énormément,3_beaucoup,0_pas_du_tout,0_pas_du_tout,Moi j'adore les glaces mais c'est difficile de trouver de bons artisans de nos jours.
34,7,femme,114.45971287892071,Non renseigné,0_pas_du_tout,Non renseigné,1_un peu,2_moyennement,2_moyennement,4_énormément,Non renseigné,1_un peu,RAS
35,31,femme,162.95630207364465,Non,2_moyennement,1_un peu,2_moyennement,0_pas_du_tout,3_beaucoup,Non renseigné,3_beaucoup,Non renseigné,NA
36,59,femme,164.40552606170525,Non,1_un peu,0_pas_du_tout,4_énormément,2_moyennement,3_beaucoup,3_beaucoup,4_énormément,1_un peu,NA
37,3,non binaire,94.33720622218311,Oui,1_un peu,0_pas_du_tout,0_pas_du_tout,1_un peu,3_beaucoup,1_un peu,2_moyennement,0_pas_du_tout,NA
38,71,homme,162.0207583810472,Non renseigné,2_moyennement,0_pas_du_tout,2_moyennement,3_beaucoup,0_pas_du_tout,3_beaucoup,Non renseigné,Non renseigné,NA
39,65,femme,164.11965877501478,Non renseigné,2_moyennement,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,1_un peu,Non renseigné,3_beaucoup,4_énormément,NA
40,10,NA,129.6720775762246,Non renseigné,3_beaucoup,0_pas_du_tout,0_pas_du_tout,2_moyennement,3_beaucoup,1_un peu,4_énormément,Non renseigné,NA
41,31,femme,167.91246249604077,Non,2_moyennement,0_pas_du_tout,0_pas_du_tout,2_moyennement,4_énormément,Non renseigné,Non renseigné,3_beaucoup,NA
42,44,homme,172.4812805967901,Non renseigné,3_beaucoup,3_beaucoup,3_beaucoup,0_pas_du_tout,2_moyennement,4_énormément,1_un peu,Non renseigné,NA
43,20,femme,NA,Non,2_moyennement,4_énormément,Non renseigné,1_un peu,2_moyennement,3_beaucoup,Non renseigné,Non renseigné,NA
44,17,femme,165.14728529285674,Oui,2_moyennement,4_énormément,1_un peu,4_énormément,Non renseigné,4_énormément,4_énormément,4_énormément,NA
45,21,NA,175.27142929425426,Non renseigné,2_moyennement,2_moyennement,0_pas_du_tout,0_pas_du_tout,2_moyennement,0_pas_du_tout,2_moyennement,Non renseigné,NA
46,47,femme,NA,Non,2_moyennement,Non renseigné,2_moyennement,3_beaucoup,Non renseigné,2_moyennement,0_pas_du_tout,2_moyennement,NA
47,14,homme,152.06068269235683,Oui,4_énormément,1_un peu,1_un peu,1_un peu,Non renseigné,2_moyennement,1_un peu,2_moyennement,NA
48,55,homme,NA,Oui,1_un peu,1_un peu,Non renseigné,3_beaucoup,3_beaucoup,1_un peu,Non renseigné,Non renseigné,NA
49,8,homme,118.52042195847099,Non renseigné,2_moyennement,2_moyennement,3_beaucoup,3_beaucoup,Non renseigné,0_pas_du_tout,0_pas_du_tout,Non renseigné,NA
50,5,femme,102.36350658662555,Non renseigné,0_pas_du_tout,3_beaucoup,2_moyennement,3_beaucoup,4_énormément,2_moyennement,1_un peu,4_énormément,NA
51,3,homme,95.32718882076539,Oui,2_moyennement,0_pas_du_tout,0_pas_du_tout,1_un peu,Non renseigné,4_énormément,1_un peu,Non renseigné,NA
52,22,femme,156.7842218319788,Non,3_beaucoup,3_beaucoup,4_énormément,0_pas_du_tout,2_moyennement,1_un peu,3_beaucoup,Non renseigné,NA
53,32,homme,163.88312296889146,Oui,Non renseigné,3_beaucoup,3_beaucoup,1_un peu,4_énormément,4_énormément,2_moyennement,Non renseigné,NA
54,34,femme,163.54339722473225,Oui,0_pas_du_tout,3_beaucoup,0_pas_du_tout,3_beaucoup,3_beaucoup,0_pas_du_tout,1_un peu,3_beaucoup,NA
55,66,femme,174.57482347364902,Non renseigné,1_un peu,0_pas_du_tout,0_pas_du_tout,4_énormément,1_un peu,0_pas_du_tout,3_beaucoup,Non renseigné,NA
56,NA,femme,157.87344265624293,Oui,4_énormément,4_énormément,4_énormément,2_moyennement,0_pas_du_tout,4_énormément,3_beaucoup,Non renseigné,"Bonne continuation, c'est un travail très important que vous réalisez!"
57,66,homme,173.2108718216554,Oui,3_beaucoup,3_beaucoup,Non renseigné,0_pas_du_tout,3_beaucoup,4_énormément,4_énormément,4_énormément,NA
58,7,femme,115.43279215275294,Non renseigné,2_moyennement,4_énormément,2_moyennement,1_un peu,1_un peu,2_moyennement,4_énormément,Non renseigné,NA
59,31,homme,166.19732524902102,Non,0_pas_du_tout,4_énormément,1_un peu,0_pas_du_tout,0_pas_du_tout,1_un peu,0_pas_du_tout,2_moyennement,NA
60,53,femme,162.39088461293062,Oui,1_un peu,3_beaucoup,3_beaucoup,1_un peu,2_moyennement,2_moyennement,2_moyennement,4_énormément,NA
61,6,femme,110.94933731821699,Non,2_moyennement,2_moyennement,2_moyennement,2_moyennement,4_énormément,3_beaucoup,0_pas_du_tout,2_moyennement,RAS
62,7,homme,116.16998055490444,Oui,2_moyennement,1_un peu,1_un peu,0_pas_du_tout,4_énormément,3_beaucoup,3_beaucoup,4_énormément,Est-ce qu'on pourra recevoir les résultats de l'enquête? Je vous laisse mon mail: xxxx.xxxx@gmail.com
63,4,femme,101.27920579636222,Non,1_un peu,3_beaucoup,1_un peu,2_moyennement,1_un peu,4_énormément,Non renseigné,Non renseigné,NA
64,27,non binaire,NA,Non,0_pas_du_tout,3_beaucoup,4_énormément,0_pas_du_tout,1_un peu,4_énormément,Non renseigné,3_beaucoup,NA
65,20,femme,164.71675114392397,Non,0_pas_du_tout,4_énormément,NA,3_beaucoup,1_un peu,1_un peu,4_énormément,Non renseigné,L'offre de parfums en vegan c'est vraiment pas ça. Je suis déçu.
66,NA,homme,181.87767696909248,Oui,0_pas_du_tout,2_moyennement,4_énormément,0_pas_du_tout,4_énormément,4_énormément,2_moyennement,1_un peu,NA
67,24,femme,161.0347807495169,Oui,2_moyennement,2_moyennement,3_beaucoup,Non renseigné,Non renseigné,4_énormément,Non renseigné,Non renseigné,NA
68,5,non binaire,NA,Non renseigné,1_un peu,0_pas_du_tout,0_pas_du_tout,2_moyennement,3_beaucoup,4_énormément,0_pas_du_tout,Non renseigné,NA
69,17,homme,166.2059276258435,Non renseigné,Non renseigné,4_énormément,1_un peu,3_beaucoup,4_énormément,3_beaucoup,4_énormément,Non renseigné,NA
70,47,femme,164.09002178126676,Non,1_un peu,4_énormément,4_énormément,0_pas_du_tout,4_énormément,3_beaucoup,4_énormément,2_moyennement,NA
71,76,homme,173.12464734660733,Non renseigné,1_un peu,4_énormément,1_un peu,Non renseigné,Non renseigné,3_beaucoup,3_beaucoup,0_pas_du_tout,NA
72,31,homme,170.02332209855487,Oui,3_beaucoup,2_moyennement,0_pas_du_tout,2_moyennement,1_un peu,2_moyennement,4_énormément,2_moyennement,NA
73,5,femme,105.35738062229099,Non,3_beaucoup,Non renseigné,3_beaucoup,3_beaucoup,0_pas_du_tout,Non renseigné,4_énormément,0_pas_du_tout,NA
74,29,homme,176.0604899116017,Oui,3_beaucoup,2_moyennement,Non renseigné,3_beaucoup,0_pas_du_tout,4_énormément,4_énormément,Non renseigné,NA
75,63,femme,164.98620408492482,Non renseigné,4_énormément,2_moyennement,Non renseigné,1_un peu,4_énormément,1_un peu,3_beaucoup,Non renseigné,NA
76,NA,femme,NA,Oui,Non renseigné,0_pas_du_tout,4_énormément,1_un peu,4_énormément,4_énormément,0_pas_du_tout,Non renseigné,NA
77,NA,femme,159.52440864090767,Non,Non renseigné,4_énormément,1_un peu,3_beaucoup,2_moyennement,4_énormément,3_beaucoup,Non renseigné,NA
78,75,NA,164.998992247776,Non renseigné,1_un peu,3_beaucoup,3_beaucoup,0_pas_du_tout,0_pas_du_tout,Non renseigné,1_un peu,Non renseigné,NA
79,14,femme,150.7931179578906,Non renseigné,0_pas_du_tout,2_moyennement,1_un peu,0_pas_du_tout,3_beaucoup,3_beaucoup,3_beaucoup,Non renseigné,NA
80,71,femme,163.53903432254518,Non renseigné,3_beaucoup,2_moyennement,3_beaucoup,2_moyennement,Non renseigné,Non renseigné,3_beaucoup,4_énormément,NA
81,11,homme,NA,Oui,3_beaucoup,4_énormément,1_un peu,4_énormément,3_beaucoup,3_beaucoup,0_pas_du_tout,Non renseigné,NA
82,59,femme,166.02169603218877,Oui,3_beaucoup,4_énormément,3_beaucoup,4_énormément,4_énormément,1_un peu,3_beaucoup,3_beaucoup,NA
83,63,NA,169.49244599783242,Non renseigné,1_un peu,1_un peu,4_énormément,4_énormément,4_énormément,Non renseigné,0_pas_du_tout,Non renseigné,NA
84,53,femme,164.59426254440467,Non renseigné,1_un peu,3_beaucoup,4_énormément,3_beaucoup,4_énormément,4_énormément,3_beaucoup,1_un peu,NA
85,NA,homme,166.81203433715456,Oui,3_beaucoup,3_beaucoup,1_un peu,Non renseigné,4_énormément,4_énormément,1_un peu,0_pas_du_tout,NA
86,35,femme,163.40743659723952,Non,3_beaucoup,2_moyennement,0_pas_du_tout,0_pas_du_tout,2_moyennement,4_énormément,3_beaucoup,2_moyennement,NA
87,16,non binaire,163.22657752791923,Non renseigné,4_énormément,0_pas_du_tout,0_pas_du_tout,3_beaucoup,3_beaucoup,2_moyennement,Non renseigné,3_beaucoup,NA
88,25,homme,163.0244739939427,Oui,0_pas_du_tout,0_pas_du_tout,Non renseigné,4_énormément,4_énormément,3_beaucoup,Non renseigné,Non renseigné,NA
89,76,femme,171.91218470800575,Non renseigné,2_moyennement,0_pas_du_tout,3_beaucoup,2_moyennement,Non renseigné,Non renseigné,4_énormément,0_pas_du_tout,NA
90,NA,homme,175.4137648968803,Non renseigné,2_moyennement,2_moyennement,Non renseigné,3_beaucoup,Non renseigné,2_moyennement,1_un peu,4_énormément,NA
91,54,femme,161.06705957017715,Non renseigné,1_un peu,1_un peu,3_beaucoup,4_énormément,0_pas_du_tout,0_pas_du_tout,4_énormément,Non renseigné,NA
92,28,non binaire,NA,Non renseigné,4_énormément,4_énormément,1_un peu,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,1_un peu,1_un peu,NA
93,14,homme,150.79727381311827,Oui,3_beaucoup,4_énormément,2_moyennement,4_énormément,2_moyennement,3_beaucoup,2_moyennement,Non renseigné,NA
94,35,homme,162.85764545435302,Non renseigné,1_un peu,0_pas_du_tout,3_beaucoup,0_pas_du_tout,4_énormément,3_beaucoup,0_pas_du_tout,Non renseigné,"Les meilleurs parfums ne sont pas cités: stracciatella, passion, noisette..."
95,64,homme,169.58957193989477,Non,2_moyennement,3_beaucoup,1_un peu,0_pas_du_tout,0_pas_du_tout,1_un peu,4_énormément,Non renseigné,NA
96,NA,NA,167.18359724066963,Non renseigné,3_beaucoup,0_pas_du_tout,0_pas_du_tout,3_beaucoup,1_un peu,3_beaucoup,0_pas_du_tout,2_moyennement,NA
97,47,femme,NA,Non renseigné,0_pas_du_tout,3_beaucoup,1_un peu,1_un peu,1_un peu,3_beaucoup,0_pas_du_tout,Non renseigné,J'essaie de trouver des Nutriscore pas trop nases mais en glaces c'est la galère.
98,6,homme,110.81336332136839,Oui,1_un peu,1_un peu,1_un peu,3_beaucoup,2_moyennement,4_énormément,0_pas_du_tout,1_un peu,NA
99,20,non binaire,NA,Non renseigné,3_beaucoup,2_moyennement,NA,4_énormément,3_beaucoup,3_beaucoup,1_un peu,0_pas_du_tout,NA
100,9,non binaire,NA,Oui,1_un peu,0_pas_du_tout,0_pas_du_tout,2_moyennement,Non renseigné,2_moyennement,0_pas_du_tout,Non renseigné,NA
101,60,homme,167.16934798480702,Non,0_pas_du_tout,3_beaucoup,1_un peu,Non renseigné,1_un peu,Non renseigné,2_moyennement,Non renseigné,NA
102,79,non binaire,NA,Oui,4_énormément,2_moyennement,1_un peu,3_beaucoup,2_moyennement,4_énormément,4_énormément,0_pas_du_tout,NA
103,NA,homme,171.44602009319155,Non,2_moyennement,3_beaucoup,3_beaucoup,1_un peu,2_moyennement,Non renseigné,0_pas_du_tout,Non renseigné,NA
104,57,femme,166.58772609563093,Non,2_moyennement,1_un peu,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,3_beaucoup,2_moyennement,Non renseigné,NA
105,33,homme,175.99055546494287,Non,2_moyennement,0_pas_du_tout,3_beaucoup,Non renseigné,0_pas_du_tout,3_beaucoup,2_moyennement,Non renseigné,"Je ne sais pas si je vais pouvoir répondre à toutes les questions, je suis un peu fatigué aujourd'hui."
106,NA,femme,170.7606992966285,Non renseigné,3_beaucoup,1_un peu,3_beaucoup,1_un peu,2_moyennement,0_pas_du_tout,0_pas_du_tout,2_moyennement,NA
107,6,non binaire,109.79531248190708,Non renseigné,4_énormément,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,Non renseigné,4_énormément,0_pas_du_tout,Non renseigné,NA
108,45,femme,164.45026105713205,Non renseigné,Non renseigné,4_énormément,1_un peu,3_beaucoup,4_énormément,2_moyennement,Non renseigné,Non renseigné,NA
109,53,femme,166.70426178507998,Non renseigné,2_moyennement,4_énormément,4_énormément,0_pas_du_tout,4_énormément,Non renseigné,3_beaucoup,4_énormément,NA
110,64,homme,169.52502021967393,Non renseigné,4_énormément,0_pas_du_tout,1_un peu,0_pas_du_tout,Non renseigné,1_un peu,4_énormément,0_pas_du_tout,NA
111,72,femme,163.94235820297703,Non renseigné,Non renseigné,0_pas_du_tout,0_pas_du_tout,1_un peu,3_beaucoup,1_un peu,4_énormément,4_énormément,NA
112,69,femme,157.5267688381601,Non renseigné,3_beaucoup,3_beaucoup,2_moyennement,2_moyennement,0_pas_du_tout,Non renseigné,3_beaucoup,Non renseigné,NA
113,48,homme,167.89953313393417,Non,1_un peu,1_un peu,0_pas_du_tout,Non renseigné,Non renseigné,1_un peu,2_moyennement,0_pas_du_tout,NA
114,9,NA,123.0052106926835,Oui,2_moyennement,1_un peu,3_beaucoup,3_beaucoup,2_moyennement,2_moyennement,0_pas_du_tout,4_énormément,NA
115,42,femme,158.6006270075221,Non renseigné,4_énormément,4_énormément,3_beaucoup,1_un peu,4_énormément,3_beaucoup,Non renseigné,1_un peu,NA
116,68,femme,161.0434299285032,Non,3_beaucoup,1_un peu,0_pas_du_tout,0_pas_du_tout,2_moyennement,0_pas_du_tout,0_pas_du_tout,2_moyennement,NA
117,31,femme,172.2835729067565,Non,1_un peu,3_beaucoup,Non renseigné,0_pas_du_tout,Non renseigné,3_beaucoup,2_moyennement,Non renseigné,NA
118,25,femme,NA,Non,3_beaucoup,0_pas_du_tout,0_pas_du_tout,3_beaucoup,2_moyennement,1_un peu,2_moyennement,Non renseigné,NA
119,29,homme,166.5837954319763,Non,2_moyennement,Non renseigné,1_un peu,0_pas_du_tout,2_moyennement,3_beaucoup,2_moyennement,Non renseigné,NA
120,NA,NA,171.25583286618263,Non renseigné,2_moyennement,0_pas_du_tout,4_énormément,1_un peu,Non renseigné,Non renseigné,1_un peu,3_beaucoup,NA
121,15,femme,155.1647494782132,Non,4_énormément,4_énormément,1_un peu,3_beaucoup,4_énormément,1_un peu,4_énormément,2_moyennement,NA
122,74,femme,168.78340645872356,Oui,2_moyennement,0_pas_du_tout,2_moyennement,Non renseigné,4_énormément,3_beaucoup,Non renseigné,Non renseigné,NA
123,73,homme,170.8489401445082,Oui,3_beaucoup,1_un peu,Non renseigné,0_pas_du_tout,4_énormément,2_moyennement,Non renseigné,Non renseigné,NA
124,36,femme,164.9472099849772,Non,2_moyennement,Non renseigné,2_moyennement,Non renseigné,3_beaucoup,Non renseigné,1_un peu,Non renseigné,NA
125,33,homme,NA,Non renseigné,4_énormément,3_beaucoup,3_beaucoup,4_énormément,4_énormément,4_énormément,Non renseigné,4_énormément,NA
126,NA,homme,151.29792336832418,Non,1_un peu,4_énormément,2_moyennement,0_pas_du_tout,3_beaucoup,Non renseigné,Non renseigné,Non renseigné,NA
127,79,femme,157.43681453671087,Oui,Non renseigné,1_un peu,1_un peu,1_un peu,3_beaucoup,1_un peu,4_énormément,Non renseigné,NA
128,46,femme,171.09479492045446,Non,4_énormément,4_énormément,3_beaucoup,4_énormément,1_un peu,Non renseigné,0_pas_du_tout,Non renseigné,NA
129,12,NA,NA,Non renseigné,3_beaucoup,2_moyennement,1_un peu,2_moyennement,1_un peu,2_moyennement,Non renseigné,Non renseigné,NA
130,41,homme,178.69741368454763,Non,1_un peu,0_pas_du_tout,0_pas_du_tout,2_moyennement,3_beaucoup,4_énormément,1_un peu,Non renseigné,NA
131,22,homme,174.50914261452914,Non,1_un peu,0_pas_du_tout,3_beaucoup,3_beaucoup,1_un peu,4_énormément,0_pas_du_tout,Non renseigné,NA
132,70,homme,NA,Non renseigné,2_moyennement,1_un peu,3_beaucoup,3_beaucoup,3_beaucoup,0_pas_du_tout,2_moyennement,Non renseigné,NA
133,67,homme,164.9415628623407,Non,1_un peu,0_pas_du_tout,Non renseigné,1_un peu,4_énormément,3_beaucoup,3_beaucoup,3_beaucoup,NA
134,NA,homme,165.9643839870252,Oui,1_un peu,Non renseigné,3_beaucoup,0_pas_du_tout,2_moyennement,1_un peu,1_un peu,Non renseigné,NA
135,17,homme,164.9847608401024,Oui,2_moyennement,1_un peu,0_pas_du_tout,1_un peu,3_beaucoup,0_pas_du_tout,3_beaucoup,2_moyennement,NA
136,73,homme,167.865707718374,Non,4_énormément,0_pas_du_tout,3_beaucoup,2_moyennement,4_énormément,4_énormément,4_énormément,Non renseigné,NA
137,52,femme,165.51012394237006,Oui,0_pas_du_tout,2_moyennement,1_un peu,1_un peu,1_un peu,4_énormément,1_un peu,Non renseigné,NA
138,NA,homme,164.99725048150273,Oui,2_moyennement,2_moyennement,0_pas_du_tout,3_beaucoup,1_un peu,4_énormément,4_énormément,0_pas_du_tout,NA
139,33,femme,158.19253577808212,Non,3_beaucoup,2_moyennement,3_beaucoup,0_pas_du_tout,1_un peu,Non renseigné,3_beaucoup,Non renseigné,NA
140,76,femme,NA,Non renseigné,4_énormément,3_beaucoup,4_énormément,0_pas_du_tout,2_moyennement,4_énormément,4_énormément,4_énormément,NA
141,NA,NA,169.560402726302,Non,4_énormément,2_moyennement,4_énormément,0_pas_du_tout,3_beaucoup,2_moyennement,0_pas_du_tout,Non renseigné,NA
142,59,non binaire,NA,Non renseigné,1_un peu,1_un peu,4_énormément,Non renseigné,Non renseigné,4_énormément,2_moyennement,Non renseigné,NA
143,72,femme,NA,Non,3_beaucoup,4_énormément,1_un peu,0_pas_du_tout,0_pas_du_tout,3_beaucoup,3_beaucoup,3_beaucoup,NA
144,64,femme,170.48691414416848,Non,4_énormément,1_un peu,3_beaucoup,4_énormément,1_un peu,4_énormément,2_moyennement,Non renseigné,NA
145,50,homme,173.01107491915127,Oui,0_pas_du_tout,4_énormément,0_pas_du_tout,0_pas_du_tout,3_beaucoup,1_un peu,0_pas_du_tout,Non renseigné,NA
146,77,homme,168.30148446121223,Non renseigné,4_énormément,3_beaucoup,1_un peu,3_beaucoup,1_un peu,4_énormément,4_énormément,Non renseigné,NA
147,27,femme,169.3982888527094,Non renseigné,4_énormément,1_un peu,1_un peu,1_un peu,4_énormément,4_énormément,Non renseigné,Non renseigné,NA
148,62,femme,166.24076260803395,Non renseigné,2_moyennement,4_énormément,2_moyennement,1_un peu,Non renseigné,3_beaucoup,3_beaucoup,Non renseigné,NA
149,40,femme,159.20569225351593,Non,4_énormément,4_énormément,3_beaucoup,Non renseigné,4_énormément,2_moyennement,1_un peu,Non renseigné,NA
150,39,femme,165.16920035217265,Non,3_beaucoup,3_beaucoup,1_un peu,2_moyennement,3_beaucoup,4_énormément,3_beaucoup,4_énormément,NA
151,51,homme,172.56780589710053,Non renseigné,0_pas_du_tout,0_pas_du_tout,2_moyennement,0_pas_du_tout,Non renseigné,2_moyennement,Non renseigné,Non renseigné,NA
152,40,femme,169.14518728206468,Oui,Non renseigné,3_beaucoup,3_beaucoup,0_pas_du_tout,1_un peu,4_énormément,1_un peu,Non renseigné,NA
153,35,femme,163.4169226238933,Non renseigné,4_énormément,4_énormément,3_beaucoup,0_pas_du_tout,Non renseigné,4_énormément,0_pas_du_tout,1_un peu,NA
154,30,femme,165.3887806628544,Non,2_moyennement,1_un peu,3_beaucoup,0_pas_du_tout,2_moyennement,0_pas_du_tout,0_pas_du_tout,Non renseigné,NA
155,10,femme,131.2504720643234,Non,3_beaucoup,Non renseigné,Non renseigné,3_beaucoup,3_beaucoup,Non renseigné,3_beaucoup,0_pas_du_tout,NA
156,76,femme,156.9650572697982,Oui,1_un peu,2_moyennement,2_moyennement,1_un peu,1_un peu,Non renseigné,2_moyennement,Non renseigné,NA
157,61,non binaire,NA,Non renseigné,3_beaucoup,2_moyennement,4_énormément,Non renseigné,3_beaucoup,0_pas_du_tout,3_beaucoup,1_un peu,NA
158,73,femme,158.11382511035345,Non,2_moyennement,Non renseigné,0_pas_du_tout,0_pas_du_tout,Non renseigné,0_pas_du_tout,2_moyennement,Non renseigné,NA
159,56,homme,167.84376541625898,Non renseigné,2_moyennement,Non renseigné,4_énormément,1_un peu,2_moyennement,4_énormément,Non renseigné,Non renseigné,NA
160,43,femme,170.12219603397477,Non renseigné,2_moyennement,2_moyennement,1_un peu,2_moyennement,Non renseigné,1_un peu,3_beaucoup,1_un peu,NA
161,74,homme,166.89858758749668,Non,0_pas_du_tout,4_énormément,3_beaucoup,3_beaucoup,3_beaucoup,0_pas_du_tout,0_pas_du_tout,3_beaucoup,NA
162,14,femme,147.89163164530584,Non renseigné,1_un peu,0_pas_du_tout,3_beaucoup,Non renseigné,4_énormément,2_moyennement,0_pas_du_tout,2_moyennement,NA
163,43,femme,159.09163666382545,Non renseigné,1_un peu,3_beaucoup,1_un peu,3_beaucoup,Non renseigné,Non renseigné,0_pas_du_tout,0_pas_du_tout,NA
164,66,femme,156.56183205062547,Non renseigné,1_un peu,3_beaucoup,0_pas_du_tout,1_un peu,Non renseigné,3_beaucoup,Non renseigné,Non renseigné,NA
165,34,homme,177.07125592649484,Oui,2_moyennement,1_un peu,1_un peu,Non renseigné,3_beaucoup,2_moyennement,Non renseigné,2_moyennement,NA
166,32,NA,179.01666673761534,Oui,1_un peu,1_un peu,3_beaucoup,0_pas_du_tout,Non renseigné,4_énormément,2_moyennement,Non renseigné,NA
